taxonomy_short,taxonomy_full,maintainer,type,url,version,notes
OWASP LLM Top 10,OWASP Top 10 for Large Language Model Applications,OWASP,weakness-list,https://owasp.org/www-project-top-10-for-large-language-model-applications,2025,Top 10 LLM security risks
OWASP ML Top 10,OWASP Machine Learning Security Top 10,OWASP,weakness-list,https://owasp.org/www-project-machine-learning-security-top-10,1.0,Top 10 ML security risks
OWASP AI Exchange,OWASP AI Exchange,OWASP,framework,https://owaspai.org,2024,AI security knowledge base
MITRE ATLAS,Adversarial Threat Landscape for AI Systems,MITRE,attack-framework,https://atlas.mitre.org,4.0,AI/ML adversarial attack framework
MITRE ATLAS Tactics,ATLAS Tactics,MITRE,tactic-list,https://atlas.mitre.org/tactics,4.0,AI attack tactic categories
MITRE ATLAS Techniques,ATLAS Techniques,MITRE,technique-list,https://atlas.mitre.org/techniques,4.0,AI attack technique catalog
MITRE ATLAS Mitigations,ATLAS Mitigations,MITRE,mitigation-list,https://atlas.mitre.org/mitigations,4.0,AI attack mitigations
MITRE ATLAS Case Studies,ATLAS Case Studies,MITRE,incident-list,https://atlas.mitre.org/studies,4.0,Real-world AI attack examples
NIST AI 100-2,Adversarial Machine Learning Taxonomy,NIST,taxonomy,https://csrc.nist.gov/pubs/ai/100/2/e2025/final,E2025,Official AML attack taxonomy
NIST AI RMF Risks,NIST AI RMF Risk Categories,NIST,risk-framework,https://www.nist.gov/itl/ai-risk-management-framework,1.0,AI risk management categories
BIML-78,BIML Machine Learning Risk Framework,BIML,risk-list,https://berryvilleiml.com/results,1.0,78 architectural ML security risks
BIML-81,BIML LLM Risk Framework,BIML,risk-list,https://berryvilleiml.com/results,2024,81 LLM-specific security risks
BIML Interactive,BIML Interactive ML Risk Framework,BIML,tool,https://berryvilleiml.com/interactive,1.0,Interactive ML risk explorer
AVID,AI Vulnerability Database,AVID ML,taxonomy,https://avidml.org,1.0,AI/ML vulnerability taxonomy and database
AVID Taxonomy,AVID Vulnerability Taxonomy,AVID ML,taxonomy,https://avidml.org/taxonomy,1.0,Structured AI vulnerability classification
AI Incident Database,AI Incident Database,Partnership on AI,incident-db,https://incidentdatabase.ai,2024,Repository of AI incidents
AIAAIC Repository,AIAAIC Repository,AIAAIC,incident-db,https://www.aiaaic.org,2024,AI incidents and issues
Stanford HELM,Holistic Evaluation of Language Models,Stanford CRFM,benchmark,https://crfm.stanford.edu/helm,2024,LLM evaluation framework
Stanford HELM Safety,HELM Safety Benchmark,Stanford CRFM,benchmark,https://crfm.stanford.edu/helm/safety/latest,1.0,LLM safety evaluation
AIR-Bench,AI Risk Benchmark 2024,Stanford CRFM,benchmark,https://github.com/stanford-crfm/air-bench-2024,2024,Regulation-aligned safety benchmark (314 risk categories)
Google SAIF,Secure AI Framework,Google,framework,https://safety.google/cybersecurity-advancements/saif,1.0,Google AI security framework
Meta Purple Llama,Purple Llama,Meta,toolkit,https://github.com/meta-llama/PurpleLlama,2024,LLM security evaluation tools
CyberSecEval,CyberSecEval,Meta,benchmark,https://meta-llama.github.io/PurpleLlama/CyberSecEval,4.0,LLM cybersecurity benchmark
CyberSecEval Insecure Code,CyberSecEval Insecure Code Generation,Meta,benchmark,https://meta-llama.github.io/PurpleLlama/CyberSecEval,4.0,Tests LLM insecure code generation
