cert_short,cert_full,provider,domain,url,level,notes
CCSK,Certificate of Cloud Security Knowledge,CSA,cloud,https://cloudsecurityalliance.org/education/ccsk,foundation,CSA cloud security fundamentals (v5)
CCSP,Certified Cloud Security Professional,ISC2/CSA,cloud,https://www.isc2.org/certifications/ccsp,professional,Advanced cloud security certification
CCAK,Certificate of Cloud Auditing Knowledge,CSA/ISACA,cloud,https://cloudsecurityalliance.org/education/ccak,professional,Cloud auditing certification
CISSP,Certified Information Systems Security Professional,ISC2,general,https://www.isc2.org/certifications/cissp,professional,Broad security management certification
CISM,Certified Information Security Manager,ISACA,management,https://www.isaca.org/credentialing/cism,professional,Security management focus
CISA,Certified Information Systems Auditor,ISACA,audit,https://www.isaca.org/credentialing/cisa,professional,IT audit certification
CRISC,Certified in Risk and Information Systems Control,ISACA,risk,https://www.isaca.org/credentialing/crisc,professional,IT risk management
CGEIT,Certified in Governance of Enterprise IT,ISACA,governance,https://www.isaca.org/credentialing/cgeit,professional,IT governance certification
CDPSE,Certified Data Privacy Solutions Engineer,ISACA,privacy,https://www.isaca.org/credentialing/cdpse,professional,Privacy engineering certification
SSCP,Systems Security Certified Practitioner,ISC2,general,https://www.isc2.org/certifications/sscp,associate,Entry-level security certification
CSSLP,Certified Secure Software Lifecycle Professional,ISC2,development,https://www.isc2.org/certifications/csslp,professional,Secure development certification
HCISPP,HealthCare Information Security and Privacy Practitioner,ISC2,healthcare,https://www.isc2.org/certifications/hcispp,professional,Healthcare security certification
Security+,CompTIA Security+,CompTIA,general,https://www.comptia.org/certifications/security,foundation,Entry-level security certification
CySA+,CompTIA Cybersecurity Analyst,CompTIA,analyst,https://www.comptia.org/certifications/cybersecurity-analyst,professional,Security analyst certification
CASP+,CompTIA Advanced Security Practitioner,CompTIA,general,https://www.comptia.org/certifications/comptia-advanced-security-practitioner,advanced,Advanced technical security
PenTest+,CompTIA PenTest+,CompTIA,offensive,https://www.comptia.org/certifications/pentest,professional,Penetration testing certification
Cloud+,CompTIA Cloud+,CompTIA,cloud,https://www.comptia.org/certifications/cloud,foundation,Cloud fundamentals certification
CEH,Certified Ethical Hacker,EC-Council,offensive,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh,professional,Ethical hacking certification
CPENT,Certified Penetration Testing Professional,EC-Council,offensive,https://www.eccouncil.org/programs/certified-penetration-testing-professional-cpent,advanced,Advanced penetration testing
LPT,Licensed Penetration Tester,EC-Council,offensive,https://www.eccouncil.org/programs/licensed-penetration-tester-lpt-master,expert,Master-level penetration testing
CHFI,Computer Hacking Forensic Investigator,EC-Council,forensics,https://www.eccouncil.org/programs/computer-hacking-forensic-investigator-chfi,professional,Digital forensics certification
OSCP,Offensive Security Certified Professional,OffSec,offensive,https://www.offsec.com/courses/pen-200,professional,Hands-on penetration testing
OSEP,Offensive Security Experienced Penetration Tester,OffSec,offensive,https://www.offsec.com/courses/pen-300,advanced,Advanced evasion techniques
OSWE,Offensive Security Web Expert,OffSec,offensive,https://www.offsec.com/courses/web-300,advanced,Web application security
OSED,Offensive Security Exploit Developer,OffSec,offensive,https://www.offsec.com/courses/exp-301,advanced,Windows exploit development
OSEE,Offensive Security Exploitation Expert,OffSec,offensive,https://www.offsec.com/courses/exp-401,expert,Advanced Windows exploitation
GPEN,GIAC Penetration Tester,SANS/GIAC,offensive,https://www.giac.org/certifications/penetration-tester-gpen,professional,SANS penetration testing
GWAPT,GIAC Web Application Penetration Tester,SANS/GIAC,offensive,https://www.giac.org/certifications/web-application-penetration-tester-gwapt,professional,Web app penetration testing
GCIH,GIAC Certified Incident Handler,SANS/GIAC,incident,https://www.giac.org/certifications/certified-incident-handler-gcih,professional,Incident response certification
GCIA,GIAC Certified Intrusion Analyst,SANS/GIAC,analyst,https://www.giac.org/certifications/certified-intrusion-analyst-gcia,professional,Network intrusion analysis
