db_short,db_full,operator,region,url,type,notes
CVE,Common Vulnerabilities and Exposures,MITRE,Global,https://www.cve.org,identifier,Global vulnerability identifier system
NVD,National Vulnerability Database,NIST,US,https://nvd.nist.gov,enrichment,US government CVE enrichment (CVSS/CPE/CWE)
CISA KEV,Known Exploited Vulnerabilities Catalog,CISA,US,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,catalog,Actively exploited vulnerabilities
Vulnrichment,CISA Vulnrichment,CISA,US,https://github.com/cisagov/vulnrichment,enrichment,CISA CVE enrichment data
VulnCheck KEV,VulnCheck KEV,VulnCheck,US,https://vulncheck.com/kev,catalog,Extended KEV with more sources
VulnCheck NVD++,VulnCheck NVD++,VulnCheck,US,https://vulncheck.com,enrichment,Enhanced NVD data
CNVD,China National Vulnerability Database,CNCERT/CC,China,https://www.cnvd.org.cn,national,Chinese national vulnerability database
CNNVD,China National Vulnerability Database of Information Security,CNCERT,China,https://www.cnnvd.org.cn,national,Chinese government vulnerability database
JVN,Japan Vulnerability Notes,JPCERT/CC & IPA,Japan,https://jvn.jp,national,Japanese vulnerability database
JVN iPedia,JVN iPedia,IPA,Japan,https://jvndb.jvn.jp,national,Japanese vulnerability encyclopedia
KVE,Korea Vulnerability Enumeration,KISA,South Korea,https://knvd.kisa.go.kr,national,Korean vulnerability database (KNVD)
TWCVE,Taiwan CVE,TWCERT/CC,Taiwan,https://www.twcert.org.tw,national,Taiwan vulnerability tracking
EUVD,European Union Vulnerability Database,ENISA,EU,https://www.enisa.europa.eu/topics/vulnerability-disclosure,regional,EU vulnerability database (upcoming)
CERT-EU Vuln,CERT-EU Vulnerability Database,CERT-EU,EU,https://cert.europa.eu,regional,EU institutions vulnerability tracking
DFN-CERT Advisories,DFN-CERT Advisory Database,DFN-CERT,Germany,https://adv-archiv.dfn-cert.de,national,German research network advisories
CERT-Bund Advisories,CERT-Bund Advisories,BSI,Germany,https://www.cert-bund.de/advisories,national,German federal CERT advisories
CERT-FR Advisories,CERT-FR Advisories,ANSSI,France,https://www.cert.ssi.gouv.fr/avis,national,French government advisories
NCSC-NL Advisories,NCSC-NL Advisories,NCSC-NL,Netherlands,https://advisories.ncsc.nl,national,Dutch national advisories
CERT-SE Advisories,CERT-SE Vulnerability Database,CERT-SE,Sweden,https://www.cert.se,national,Swedish national advisories
NCSC Advisories,NCSC Advisories,NCSC UK,UK,https://www.ncsc.gov.uk/section/keep-up-to-date/advisories-alerts,national,UK national cyber security advisories
AusCERT Bulletins,AusCERT Security Bulletins,AusCERT,Australia,https://www.auscert.org.au/bulletins,national,Australian security bulletins
ACSC Alerts,ACSC Alerts and Advisories,ACSC,Australia,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories,national,Australian government advisories
CCCS Advisories,CCCS Advisories,CCCS,Canada,https://www.cyber.gc.ca/en/advisories,national,Canadian government advisories
CERT-In Advisories,CERT-In Vulnerability Notes,CERT-In,India,https://www.cert-in.org.in/s2cMainServlet?pageid=PUBVLNOTES,national,Indian national advisories
SingCERT Advisories,SingCERT Advisories,CSA Singapore,Singapore,https://www.csa.gov.sg/singcert/Advisories,national,Singapore advisories
GHSA,GitHub Security Advisories,GitHub,Global,https://github.com/advisories,vendor,GitHub-curated security advisories
GHSA Database,GitHub Advisory Database,GitHub,Global,https://github.com/github/advisory-database,vendor,GitHub advisory database repo
GitLab Advisories,GitLab Security Advisories,GitLab,Global,https://advisories.gitlab.com,vendor,GitLab security advisories
OSV,Open Source Vulnerabilities,Google/OpenSSF,Global,https://osv.dev,aggregator,Open source vulnerability aggregator
OSV Schema,OSV Schema,OpenSSF,Global,https://ossf.github.io/osv-schema,format,Open source vulnerability format
Go Vulncheck,Go Vulnerability Database,Google,Global,https://vuln.go.dev,ecosystem,Go module vulnerabilities
npm Advisories,npm Security Advisories,npm/GitHub,Global,https://www.npmjs.com/advisories,ecosystem,Node.js package vulnerabilities
PyPI Advisory DB,Python Advisory Database,PyPA,Global,https://github.com/pypa/advisory-database,ecosystem,Python package vulnerabilities
RubyGems Advisories,RubyGems Security Advisories,RubyGems,Global,https://rubygems.org/advisories,ecosystem,Ruby gem vulnerabilities
Ruby Advisory DB,Ruby Advisory Database,RubySec,Global,https://github.com/rubysec/ruby-advisory-db,ecosystem,Ruby security advisories
Packagist Advisories,Packagist Security Advisories,Packagist,Global,https://packagist.org/advisories,ecosystem,PHP Composer vulnerabilities
crates.io Advisories,RustSec Advisory Database,RustSec,Global,https://rustsec.org,ecosystem,Rust crate vulnerabilities
Hex.pm Advisories,Hex.pm Security Advisories,Hex,Global,https://hex.pm/advisories,ecosystem,Elixir/Erlang vulnerabilities
Maven Advisories,Maven Security Advisories,Sonatype,Global,https://ossindex.sonatype.org,ecosystem,Java/Maven vulnerabilities
NuGet Advisories,NuGet Security Advisories,Microsoft,Global,https://github.com/NuGet/Announcements,ecosystem,NuGet package vulnerabilities
Haskell Advisories,Haskell Security Advisory Database,Haskell Foundation,Global,https://github.com/haskell/security-advisories,ecosystem,Haskell package vulnerabilities
SwiftPM Advisories,Swift Package Manager Advisories,Apple,Global,https://github.com/apple/swift-package-manager,ecosystem,Swift package vulnerabilities
Bitnami VulnDB,Bitnami Vulnerability Database,VMware,Global,https://github.com/bitnami/vulndb,ecosystem,Bitnami container vulnerabilities
Wolfi Advisories,Wolfi Security Advisories,Chainguard,Global,https://github.com/wolfi-dev/advisories,ecosystem,Wolfi OS advisories
Alpine SecDB,Alpine Linux Security Database,Alpine,Global,https://secdb.alpinelinux.org,distro,Alpine Linux security
Debian Security Tracker,Debian Security Tracker,Debian,Global,https://security-tracker.debian.org/tracker,distro,Debian vulnerability tracking
Ubuntu CVE Tracker,Ubuntu CVE Tracker,Canonical,Global,https://ubuntu.com/security/cves,distro,Ubuntu vulnerability tracking
USN,Ubuntu Security Notices,Canonical,Global,https://ubuntu.com/security/notices,distro,Ubuntu security advisories
DSA,Debian Security Advisories,Debian,Global,https://www.debian.org/security,distro,Debian security advisories
DLA,Debian LTS Advisories,Debian,Global,https://www.debian.org/lts/security,distro,Debian LTS advisories
RHSA,Red Hat Security Advisories,Red Hat,Global,https://access.redhat.com/security/security-updates,distro,Red Hat security advisories
Red Hat CVE DB,Red Hat CVE Database,Red Hat,Global,https://access.redhat.com/security/cve,distro,Red Hat CVE tracking
RHEL Security,Red Hat Product Security,Red Hat,Global,https://www.redhat.com/security,distro,Red Hat security portal
CentOS Security,CentOS Security Advisories,CentOS,Global,https://lists.centos.org/pipermail/centos-announce,distro,CentOS advisories (legacy)
Rocky Linux Security,Rocky Linux Security Advisories,Rocky Linux,Global,https://errata.rockylinux.org,distro,Rocky Linux advisories
AlmaLinux Security,AlmaLinux Security Advisories,AlmaLinux,Global,https://errata.almalinux.org,distro,AlmaLinux advisories
Oracle Linux Security,Oracle Linux Security Advisories,Oracle,Global,https://linux.oracle.com/security,distro,Oracle Linux advisories
SUSE Security,SUSE Security Advisories,SUSE,Global,https://www.suse.com/security/cve,distro,SUSE security advisories
openSUSE Security,openSUSE Security Advisories,openSUSE,Global,https://lists.opensuse.org/archives/list/security-announce@lists.opensuse.org,distro,openSUSE advisories
Amazon Linux Security,Amazon Linux Security Center,AWS,Global,https://alas.aws.amazon.com,distro,Amazon Linux advisories
ALAS,Amazon Linux Security Advisories,AWS,Global,https://alas.aws.amazon.com/alas2.html,distro,Amazon Linux 2 advisories
Arch Linux Security,Arch Linux Security Tracker,Arch Linux,Global,https://security.archlinux.org,distro,Arch Linux vulnerabilities
Gentoo GLSA,Gentoo Linux Security Advisories,Gentoo,Global,https://security.gentoo.org/glsa,distro,Gentoo advisories
FreeBSD Security,FreeBSD Security Advisories,FreeBSD,Global,https://www.freebsd.org/security/advisories,distro,FreeBSD advisories
OpenBSD Security,OpenBSD Security Advisories,OpenBSD,Global,https://www.openbsd.org/errata.html,distro,OpenBSD errata
NetBSD Security,NetBSD Security Advisories,NetBSD,Global,https://www.netbsd.org/support/security,distro,NetBSD advisories
Photon OS Security,Photon OS Security Advisories,VMware,Global,https://github.com/vmware/photon/wiki/Security-Advisories,distro,VMware Photon advisories
CBL-Mariner Security,CBL-Mariner Security,Microsoft,Global,https://github.com/microsoft/CBL-Mariner,distro,Microsoft Linux distro
Flatpak Security,Flatpak Security Advisories,Flatpak,Global,https://github.com/flatpak/flatpak/security,container,Flatpak security
Snap Security,Snap Store Security,Canonical,Global,https://snapcraft.io/docs/security-policy,container,Snap package security
Docker Hub Security,Docker Hub Vulnerability Scanning,Docker,Global,https://docs.docker.com/docker-hub/vulnerability-scanning,container,Docker image scanning
Quay Security,Quay.io Security Scanning,Red Hat,Global,https://quay.io,container,Container image scanning
GCR Security,Google Container Registry Vulnerability Scanning,Google,Global,https://cloud.google.com/container-analysis,container,GCP container scanning
ECR Security,Amazon ECR Image Scanning,AWS,Global,https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html,container,AWS container scanning
ACR Security,Azure Container Registry Vulnerability Scanning,Microsoft,Global,https://docs.microsoft.com/en-us/azure/defender-for-cloud/defender-for-containers-vulnerability-assessment-azure,container,Azure container scanning
Trivy DB,Trivy Vulnerability Database,Aqua Security,Global,https://github.com/aquasecurity/trivy-db,scanner,Trivy vulnerability database
Grype DB,Grype Vulnerability Database,Anchore,Global,https://github.com/anchore/grype-db,scanner,Grype vulnerability database
Clair DB,Clair Vulnerability Database,Quay,Global,https://github.com/quay/clair,scanner,Clair scanner database
Snyk Vuln DB,Snyk Vulnerability Database,Snyk,Global,https://snyk.io/vuln,commercial,Snyk proprietary database
Snyk Intel,Snyk Intel Vulnerability Database,Snyk,Global,https://snyk.io/product/vulnerability-database,commercial,Snyk intelligence
Mend Vuln DB,Mend Vulnerability Database,Mend (WhiteSource),Global,https://www.mend.io,commercial,Mend proprietary database
Sonatype OSS Index,Sonatype OSS Index,Sonatype,Global,https://ossindex.sonatype.org,commercial,Free OSS vulnerability data
Sonatype Vuln DB,Sonatype Vulnerability Database,Sonatype,Global,https://www.sonatype.com/products/vulnerability-database,commercial,Nexus vulnerability data
Black Duck,Black Duck Security Advisories,Synopsys,Global,https://www.synopsys.com/software-integrity/security-testing/software-composition-analysis.html,commercial,Black Duck SCA database
Veracode SCA,Veracode SCA Database,Veracode,Global,https://www.veracode.com/products/software-composition-analysis,commercial,Veracode SCA vulnerabilities
Checkmarx SCA,Checkmarx SCA Database,Checkmarx,Global,https://checkmarx.com/product/cxsca-open-source-scanning,commercial,Checkmarx SCA database
FOSSA Security,FOSSA Security Database,FOSSA,Global,https://fossa.com,commercial,FOSSA vulnerability data
